Approved symbol	Previous symbols	Pubmed IDs	Synonyms
VN1R4		12123587	V1RL4
VN1R5		12123587	V1RL5
VN1R6P	VNR19I2		ZVNR2, ZVNH2
VN1R7P	ORLP1	11116092, 10830953	
VN1R8P	ORLP2		
VN1R9P			VN1R22-1P
VN1R10P	VNR6I1P		hs6V1-1p, b24o18.2
VN1R11P			dJ86C11.7, hs6V1-2p, VNR6I2P
VN1R12P			VNR6I3P, bA373D17.2, hs6V1-3p
VN1R13P			bA373D17.3, hs6V1-4p, VNR6I4P
VN1R14P			bA457M11.4, hs6M1-5p, VNR6I5P
VN1R15P			
VN1R16P			
VN1R17P			
VN1R18P			
VN1R19P			
VN1R20P			
VN1R21P			
VN1R22P			
VN1R23P			
VN1R24P			
VN1R25P			
VN1R26P			
VN1R27P			
VN1R28P			
VN1R29P			
VN1R30P			
VN1R31P			
VN1R32P			
VN1R33P			
VN1R34P			
VN1R35P			
VN1R36P			
VN1R37P			
VN1R38P			
VN1R39P			
VN1R40P			
VN1R41P			
VN1R42P			
VN1R43P			
VN1R44P			
VN1R45P			
VN1R46P			
VN1R47P			
VN1R48P			
VN1R49P	VN1R50P		
VN1R51P			
VN1R52P			
VN1R53P			
VN1R54P			
VN1R55P			
VN1R56P			
VN1R57P			
VN1R58P			
VN1R59P			
VN1R60P			
VN1R61P			
VN1R62P			
VN1R63P			
VN1R64P			
VN1R65P			
VN1R66P			
VN1R67P			
VN1R68P			
VN1R69P			
VN1R70P			
VN1R71P			
VN1R72P			
VN1R73P			
VN1R74P			
VN1R75P			
VN1R76P			
VN1R77P			
VN1R78P			
VN1R79P			
VN1R80P			
VN1R81P			
VN1R82P			
VN1R83P			
VN1R84P			
VN1R85P			
VN1R86P			
VN1R87P			
VN1R88P			
VN1R89P			
VN1R90P			
VN1R91P			
VN1R92P			
VN1R93P			
VN1R94P			
VN1R95P			
VN1R96P			
VN1R97P			
VN1R98P			
VN1R99P			
VN1R100P			
VN1R101P			
VN1R102P			
VN1R103P			
VN1R104P			
VN1R105P			
VN1R106P			
VN1R107P			
VN1R108P			
VN1R109P			
VN1R110P			
VN1R111P			
VN1R112P			
VN2R1P	CASRL1		GPRC2B
VN2R2P			
VN2R3P	VN2R4P, VN2R5P, VN2R8P		
VN2R6P			
VN2R7P			
VN2R9P			
VN2R10P			
VN2R11P			
VN2R12P			
VN2R13P			
VN2R14P			
VN2R15P			
VN2R16P			
VN2R17P			
VN2R18P			
VN2R19P			
VN2R20P			
VN2R21P			
VNN1		9790769	Tiff66
VNN2		9790769, 11491533	FOAP-4, GPI-80
VNN3		10501839, 19932582, 19322213	HSA238982
VOPP1		15735698, 22120523	ECop, GASP, FLJ20532, DKFZp564K0822, WBP1L2
VPREB1		3139558	VpreB, CD179A
VPREB3		10702669, 14670953	8HS20
VPS4A		10637304, 11563910	VPS4, VPS4-1, FLJ22197, SKD2, SKD1, SKD1A
VPS4B	SKD1	11563910	VPS4-2, SKD1B
VPS8	KIAA0804	9872452, 28931724	FLJ32099
VPS9D1	C16orf7	10231027	ATP-BL
VPS9D1-AS1		27568568	MYU
VPS11		26463206	RNF108, PEP5
VPS13A	CHAC	9382101, 11381253	KIAA0986
VPS13A-AS1			
VPS13B	CHS1, COH1	7920642, 15498460	
VPS13C			FLJ20136, FLJ10381, KIAA1421
VPS13D			FLJ10619, KIAA0453
VPS16		26463206, 25783203	
VPS18		11250079, 16203730, 26463206	KIAA1475, PEP3
VPS25		15511219	MGC10540, EAP20, DERP9
VPS25P1			
VPS26A	VPS26	1638986, 9653160, 16732284	Hbeta58, PEP8A
VPS26AP1			
VPS26B		16190980, 21920005	MGC10485, Pep8b
VPS26BP1			
VPS26C	DSCR3	9399594, 19794886, 21502137, 28892079	DCRA
VPS28			
VPS29		11062004, 21629666	PEP11, DC7, DC15
VPS33A		11250079, 26463206	
VPS33B		8996080, 26403612	FLJ14848
VPS33B-DT		27716329	
VPS35		11112353, 21763482	FLJ10752, MEM3, PARK17
VPS35L	C16orf62	10493829, 25355947, 28892079	MGC16824
VPS35P1			
VPS36	C13orf9	11278625, 15755741	CGI-145, Eap45
VPS37A	PQBP2	15240819, 15218037, 22717650	FLJ32642, HCRP1, SPG53
VPS37B		15218037	FLJ12750
VPS37C		15509564	FLJ20847
VPS37D	WBSCR24	15218037	MGC35352
VPS39		11448994, 26463206	KIAA0770, VAM6
VPS41		9159129, 26463206, 11412045	HVSP41
VPS45	VPS45B, VPS45A	8996080	h-vps45, H1
VPS50	CCDC132	11347906, 25453831, 25799061	KIAA1861, FLJ20097, DKFZp313I2429, VPS54L
VPS51	C11orf3, C11orf2	9286704, 20685960	ANG2, ANG3, FFR
VPS52	SACM2L	9790748, 15878329	ARE1
VPS53		15878329	FLJ10979, HCCS1
VPS54		12039048, 15878329	HCC8, PPP1R164
VPS72	TCFL1	7702631	YL-1, YL1, Swc2
VRK1		9344656	
VRK2			
VRK3			
VRTN	C14orf115	21232157	FLJ10811, vertnin
VSIG1		12477932	MGC44287
VSIG2		9862345	CTXL, CTH
VSIG4		11004523, 17016555, 17016562	Z39IG, CRIg
VSIG8			
VSIG10		12477932	
VSIG10L		12477932	
VSIG10L2		12477932	
VSIR	C10orf54	12975309, 24691993, 25279955	SISP1, GI24, B7-H5, B7H5, VISTA, PD-1H
VSNL1		8530085, 2202488	VILIP, HPCAL3, HUVISL1, HLP3, VILIP-1
VSTM1		12975309	UNQ3033
VSTM2A	VSTM2	12477932	MGC33530
VSTM2A-OT1			
VSTM2B			
VSTM2L	C20orf102		dJ1118M15.2
VSTM4	C10orf72		FLJ31737
VSTM5	C11orf90	16554811	LOC387804
VSX1	PPCD	10673340	PPD, PPCD1
VSX2	HOX10, CHX10	1973146	RET1
VTA1	C6orf55	11489251, 15644320	HSPC228, My012
VTA1P1			
VTA1P2			
VTCN1		12818165, 12818166	B7-H4, FLJ22418, B7S1, B7X, B7H4
VTI1A		9446565	MVti1, Vti1a, Vti1-rp2
VTI1B		9636656, 9446565	VTI2
VTI1BP1			
VTI1BP2			
VTI1BP3			
VTI1BP4			
VTN		2447940	VN
VTRNA1-1	VAULTRC1	9535882, 19298825, 19491402	vtRNA1-1, hvg-1, HVG1, vRNA, VR1
VTRNA1-2	VAULTRC2	9535882, 19298825, 19491402	vtRNA1-2, hvg-2, HVG2, VR2
VTRNA1-3	VAULTRC3	9535882, 19298825, 19491402	vtRNA1-3, hvg-3, HVG3, VR3
VTRNA2-1	MIR886, MIRN886, VTRNA2	19298825, 19491402, 22926522, 22058117	vtRNA2, hvg-5, CBL-3, hsa-mir-886, nc886, pre-miR-886
VTRNA2-2P			
VTRNA3-1P	VAULTRC4, VTRNA3P	12758122, 19298825, 19491402	vtRNA3P, hvg-4, HVG4
VWA1		14527666, 12062410	FLJ22215, VWA-1, WARP
VWA2		15580307, 14506275	FLJ45857, FLJ16213, CCSP-2, AMACO, NET42
VWA3A		12477932	FLJ46765, FLJ40941
VWA3B		12477932	DKFZp686F2227, MGC26733
VWA5A	LOH11CR2A	9417908, 14504409	BCSC-1
VWA5B1			FLJ32784
VWA5B2		15231747	DKFZp761K032, LOC90113
VWA7	C6orf27		G7c, NG37
VWA8	KIAA0564	9628581	
VWA8-AS1			
VWA8P1			
VWC2		17400546	PSST739, UNQ739
VWC2L		22209847	
VWC2L-IT1			
VWCE		12869306	URG11, FLJ32009, VWC1
VWDE		14702039, 16303743	FLJ14712
VWF	F8VWF	2251280	
VWFP1	F8VWFP, F8VWFL, VWFP		
VXN	C8orf46	29518376	MGC33510
WAC		11827461	Wwp4, FLJ31290, PRO1741, BM-016, MGC10753
WAC-AS1		12477932	
WAPL	KIAA0261, WAPAL	9039502, 17112726	FOE
WARS	IFI53	1537332, 1763065	IFP53
WARS2		10072595, 10828066	TrpRS
WARS2-AS1			
WARS2-IT1			
WARS2P1			
WARSP1			
WAS	IMD2, THC	7795648	WASP, WASPA
WASF1		9843499, 9889097	WAVE1, SCAR1, KIAA0269, WAVE
WASF1P1			
WASF2		10381382	WAVE2, SCAR2
WASF3		10381382	WAVE3, SCAR3, KIAA0900
WASF3-AS1			
WASF4P	WASF4		
WASF5P			Em:D84394.5
WASH2P	FAM39B	18159949	MGC52000
WASH3P	FAM39DP	11701968, 18159949	FLJ25222
WASH4P	FAM39CP	9054936, 11701968, 18159949	FLJ31670
WASH5P		18159949	
WASH6P	FAM39A, CXYorf1	10655549, 12566406, 18159949	
WASH7P		18159949	FAM39F
WASH8P			
WASH9P			
WASHC1	FAM39E, WASH1	15233989, 18159949	FLJ00038
WASHC2A	FAM21B, FAM21A		bA56A21.1, bA98I6.1, FLJ10824
WASHC2C	FAM21C	20357771, 20498093	Em:AC012044.3, KIAA0592
WASHC2D	FAM21D		bA592B15.4
WASHC3	CCDC53	10810093, 20498093	CGI-116
WASHC4	KIAA1033	20376207, 20498093, 21498477	SWIP
WASHC5	SPG8, KIAA0196	9973294, 17160902, 23085491	
WASHC5-AS1	KIAA0196-AS1		
WASIR1	NCRNA00286B		
WASIR2	NCRNA00286A	11157797	
WASL		9422512, 9322739	N-WASP, NWASP, WASPB
WBP1		7644498	WBP-1
WBP1L	C10orf26		FLJ20154, OPAL1
WBP1LP1			
WBP1LP2			
WBP1LP3			
WBP1LP4			
WBP1LP5			
WBP1LP6			
WBP1LP7			
WBP1LP8			
WBP1LP9			
WBP1LP10			
WBP1LP11			
WBP1LP12			
WBP2		7644498, 26881968, 23233354	WBP-2, GRAMD6
WBP2NL		17289678	FLJ26145, MGC26816, PAWP, GRAMD7
WBP2P1			
WBP4		9724750	FBP21, MGC117310
WBP11		10593949	NPWBP, SIPP1, PPP1R165
WBP11P1			HsT3017
WBS2	WBS	1583646	WS
WBSCR2		8812460	WSCR2
WDCP	C2orf44	22327622, 25469238, 30297404	FLJ21945, MMAP
WDFY1		11739631	KIAA1435, FENS-1, WDF1, ZFYVE17
WDFY2			ZFYVE22
WDFY3		10231032	KIAA0993, ALFY, ZFYVE25
WDFY3-AS1			
WDFY3-AS2	C4orf12, NCRNA00247	15580561	FBI4
WDFY4	C10orf64	10997877	KIAA1607, Em:AC060234.3, FLJ45748
WDHD1		9175701, 20028748	AND-1, CTF4, CHTF4
WDPCP	C2orf86	15654087, 20671153	hFrtz, fritz, BBS15, CPLANE5
WDR1		10036186	
WDR3		10395803	FLJ12796, UTP12, DIP2
WDR4		12403464	TRM82, TRMT82
WDR5		11551928	SWD3, CFAP89
WDR5B		10369878	FLJ11287
WDR6			
WDR7		10828621	KIAA0541, TRAG
WDR7-OT1	WDR7-UA1, WDR7-UT1		
WDR11	BRWD2	10718198, 11536051, 23394947	KIAA1351, FLJ10506, WDR15, HH14, DR11, SRI1
WDR11-AS1			
WDR12		16043514, 17353269	YTM1, FLJ10881
WDR13			
WDR17		12401215	
WDR18		22190735	Ipi3
WDR19		12906858, 22019273	Pwdmp, KIAA1638, FLJ23127, ORF26, DYF-2, Oseg6, IFT144, NPHP13
WDR20			DMR, MGC33177, FLJ33659
WDR24	C16orf21	11230166	DKFZp434F054, JFP7
WDR25	C14orf67	15587985	MGC4645
WDR26			FLJ21016, GID7
WDR27			MGC43690
WDR31			FLJ35921
WDR33		11162572, 19217410, 25301780, 25301781	FLJ11294, WDC146, NET14
WDR34		19521662, 21953912, 24183451	DIC5, MGC20486, bA216B9.3, FAP133
WDR35		10718198	MGC33196, KIAA1336, IFT121, IFTA1
WDR36	GLC1G	15590835, 15677485	TA-WDRP, UTP21
WDR37		10231032, 11230166	KIAA0982
WDR38			
WDR41		29995611	FLJ10904
WDR43		7584026, 7584028, 17699751	KIAA0007, NET12, UTP5
WDR44		12477932	DKFZp686L20145, RPH11, RAB11BP, SYM-4
WDR45	WDRX1	12477932	JM5, WIPI4, NBIA5
WDR45B	WDR45L	12477932	WIPI3
WDR45BP1	WDR45LP1		
WDR45P1			
WDR46	C6orf11	9545376, 9521053, 24754225	BING4, UTP7
WDR47		10048485, 22523538	KIAA0893
WDR48		10819331, 12196293, 24482476	KIAA1449, P80, SPG60
WDR49		12477932	FLJ33620
WDR53		12477932	MGC64882, MGC12928
WDR54		12477932	FLJ12953
WDR55		12477932	FLJ20195, FLJ21702
WDR59		11572484	FLJ12270
WDR60		23910462	FLJ10300, FAP163
WDR61		12477932	REC14
WDR62	C19orf14, MCPH2	19910486, 20729831, 20890278, 21496009	DKFZP434J046, FLJ33298
WDR63		21953912	DIC3, FLJ30067, NYD-SP29
WDR64			FLJ32978
WDR66		17967944	MGC33630, CaM-IP4
WDR70		12477932	FLJ10233
WDR72		19853237, 25008349	FLJ38736
WDR73		12477932	FLJ14888, HSPC264
WDR74		26456651	FLJ10439, Nsa1
WDR75		17699751	FLJ12519, NET16, UTP17
WDR76		12860291	FLJ12973
WDR77		11756452, 8619474	MEP50, p44
WDR78		21953912	DIC4, FLJ23129
WDR81		21885617, 26783301, 27126989	FLJ33817, PPP1R166, CAMRQ2, SORF-2
WDR82	TMEM113	17355966	PRO2730, MST107, MSTP107, PRO34047, WDR82A, SWD2
WDR82P1	WDR82		SW2, hCG26824, WDR82B
WDR82P2			WDR82C
WDR83		15118098, 16407229	MORG1
WDR83OS	C19orf56	10810093	PTD008
WDR86		12477932	
WDR86-AS1			
WDR87			NYD-SP11
WDR88	PQWD	12477932	
WDR89	C14orf150		MGC9907
WDR90	C16orf17, C16orf15, C16orf16, C16orf19, C16orf18	11572484, 11157797	FLJ36483, KIAA1924
WDR91		26783301	HSPC049, SORF-1
WDR92		16487927	FLJ31741, Monad
WDR93		22573824	
WDR95P			
WDR97	KIAA1875	11347906	
WDSUB1	WDSAM1	12477932	UBOX6, FLJ36175
WDTC1		12717455, 19238144	KIAA1037, ADP, DCAF9
WDYHV1	C8orf32	12477932	FLJ10204
WEE1		1840647	WEE1A
WEE2			FLJ16107
WEE2-AS1			
WFDC1		10967136, 21936833	PS20
WFDC2		1686187, 10570965	HE4, WAP5, dJ461P17.6, EDDM4
WFDC3		12206714, 10680116	dJ447F3.3, WAP14
WFDC5		12206714, 10680116	WAP1, dJ211D12.5
WFDC6	C20orf171	12206714	dJ461P17.11, WAP6
WFDC8	C20orf170	12206714	dJ461P17.1, WAP8
WFDC9		12206714	WAP9, dJ688G8.2
WFDC10A	C20orf146	12206714	dJ688G8.3, WAP10
WFDC10B		12206714	WAP12
WFDC11		12206714	WAP11
WFDC12	C20orf122	11779191, 12206714	dJ211D12.4, WAP2
WFDC13	C20orf138	12206714	dJ601O1.3, WAP13
WFDC21P		24744378, 26158411	LOC645638, lnc-DC, LNCDC
WFIKKN1	C16orf12	11274388, 11928817	RJD2, WFIKKN, WFDC20A
WFIKKN2		11928817, 12709070	WFIKKNRP, WFDC20B
WFS1	DFNA6, DFNA14, DFNA38	7987399, 9771706	DIDMOAD, WFS
WHAMM	WHDC1	11853319, 18226259, 18614018, 18812086	KIAA1971, WHAMM1
WHAMMP1	WHDC1P1		
WHAMMP2	WHDC1L2, WHAMML2		
WHAMMP3	WHDC1L1, WHAMML1	18226259	
WHCR			
WHRN	DFNB31	12833159, 17171570	CIP98, USH2D, PDZD7B
WHSC1L2P	WHSC1L1P	11549311	NSD4P, HsT36289
WIF1		10201374	
WIPF1	WASPIP	9405671	WIP
WIPF2		12213210, 11829459	WICH, WIRE
WIPF3			CR16, FLJ36931
WIPI1		15020712, 15602573	FLJ10055, WIPI49, ATG18, ATG18A
WIPI2		15602573	ATG21, CGI-50, FLJ12979, FLJ14217, FLJ42984, DKFZP434J154, DKFZp686P02188, ATG18B
WIZ		9795207, 12226707, 27410475	ZNF803
WIZP1			
WLS	C1orf139, GPR177	20652957, 30113308	FLJ23091, MRP, wls, EVI, mig-14
WNK1	PRKWNK1, HSN2		HSAN2, PPP1R167
WNK2	SDCCAG43, PRKWNK2	9610721, 11571656	NY-CO-43, KIAA1760
WNK3	PRKWNK3		
WNK4	PRKWNK4		
WNT1	INT1	2998762, 3281802	
WNT2	INT1L1	2971536	IRP
WNT2B	WNT13	8761309, 10944466	XWNT2
WNT3	INT4	8244403	MGC131950, MGC138321, MGC138323
WNT3A		11414706	
WNT4		8168088	WNT-4
WNT5A		8288227	hWNT5A
WNT5A-AS1			
WNT5B		11445850	
WNT6		10343101, 11350055	
WNT7A		8893824, 9161407	
WNT7B		8168088, 9284940, 11562755	
WNT8A		11408932	WNT8D
WNT8B		8661156	
WNT9A	WNT14	9441749	
WNT9B	WNT15	9441749, 11713592	WNT14B
WNT10A		11350055, 17847007	
WNT10B		9121776, 9284937, 18515319	WNT-12, SHFM6
WNT11		9757009	
WNT16		10500199	
WRAP53	WDR79	19179534, 19250907, 19571673, 19342896, 20494116, 21441950	FLJ10385, TCAB1
WRAP73	WDR8		
WRB		9544840, 21444755	CHD5, GET1
WRBP1			
WRN		9288107	RECQL2, RECQ3
WRNIP1		11301316	WHIP, FLJ22526, bA420G6.2
WS2B		7951321	
WSB1		10354473, 12076535	DKFZp564A122, DKFZp564B0482, SWIP1
WSB2		12076535	SBA2, MGC10210
WSCD1			KIAA0523
WSCD2			KIAA0789
WSPAR		25842979, 27766570	TCONS_00009511-XLOC_004555, lncTCF7
WT1	GUD	14681303	WAGR, WIT-2, AWT1, NPHS4
WT1-AS	WIT1	2173145, 8406502, 17210670	WIT-1, WT1AS, WT1-AS1
WT2	MTACR1, ADCR		
WTAP		7788527, 11001926, 24407421	KIAA0105, MGC3925, Mum2
WTAPP1			
WTIP		14736876	
WWC1		10048485, 12559952	KIBRA, KIAA0869, PPP1R168
WWC2		12477932	BOMB, FLJ22029
WWC2-AS1			
WWC2-AS2	C4orf38		FLJ30277
WWC3		10574462	KIAA1280, BM042
WWC3-AS1			
WWOX		10786676, 10861292, 19027726	FOR, WOX1, SDR41C1
WWOX-AS1		28280357, 29845204	RP11-190D6.2
WWP1		9169421, 9647693	AIP5, DKFZP434D2111
WWP1P1			
WWP2		9169421, 12167593	AIP2
WWTR1		11118213, 15096513	TAZ, DKFZp586I1419
WWTR1-AS1			
WWTR1-IT1			
XAB2		10944529	HCNP, HCRN, SYF1, NTC90
XACT		23334669, 25921272	
XAF1		12029096, 11175744	BIRC4BP, XIAPAF1, HSXIAPAF1
XAGE1A	GAGED2, XAGE1	10197611	XAGE-1, CT12.1a
XAGE1B	XAGE1C, XAGE1D, XAGE1E		CT12.1b, CT12.1c, CT12.1d
XAGE2	GAGED3, XAGE2B	10197611	XAGE-2, CT12.2
XAGE3	PLAC6, GAGED4		XAGE-3, pp9012, CT12.3a, CT12.3b
XAGE5	GAGED5	12477932	XAGE-5, CT12.5
XBP1	XBP2	1718857, 2196176	
XBP1P1	XBP1, XBPP1	1718857	
XCE		5480753, 8118102	
XCL1	LTN, SCYC1	7602097, 7875320	LPTN, ATAC, SCM-1a, SCM-1
XCL2	SCYC2	7875320	SCM-1b
XCR1	GPR5, CCXCR1	7832990, 10400311	
XDH		8224915	XOR, XO
XG	PBDX	8054981	
XGR	YG		
XGY1	XGPY	7633446	XGPY1
XGY2	XGPY2		
XIAP	API3, BIRC4	8552191, 8654366, 15749826	hILP
XIAP-AS1			
XIAPP1			
XIAPP2			
XIAPP3			
XIC		6198418, 1985270	
XIRP1	CMYA1	12203715, 15454575	DKFZp451D042, Xin
XIRP2	CMYA3	17046827, 12203715, 15454575	
XIRP2-AS1			
XIST	DXS399E	1985261, 2034279, 16778056	NCRNA00001, DXS1089, swd66, LINC00001
XK	NA, NAC	8004674, 11761473	XKR1, Kx, X1k
XKR3		16431037	MGC57211, XTES
XKR4			KIAA1889
XKR5			
XKR6	C8orf7, C8orf21, C8orf5		
XKR7	C20orf159		dJ310O13.4
XKR8		23845944	FLJ10307
XKR9			
XKRX			XPLAC, XKR2
XKRY		9381176	XKRY1
XKRY2	XKRYP7	12815422	
XKRYP1		12815422	
XKRYP2		12815422	
XKRYP3		12815422	
XKRYP4		12815422	
XKRYP5		12815422	
XKRYP6		12815422	
XM			
XPA			XPAC, XP1
XPC		1522891	XPCC, RAD4
XPNPEP1	XPNPEP, XPNPEPL1, XPNPEPL	10871044, 18515364	
XPNPEP2		9375790, 9628831	
XPNPEP3		15708373, 20179356, 24116217	APP3, NPHPL1, ICP55
XPO1		9205132, 9368044	CRM1, emb
XPO4		11214970, 10944119	FLJ13046, KIAA1721
XPO5		11777942, 12426392	KIAA1291
XPO6	RANBP20	14592989	KIAA0370, FLJ22519
XPO7	RANBP16	11024021, 9872452	KIAA0745
XPOT		9660920, 9512417	XPO3
XPOTP1			dJ785G19.1, XPO3P1
XPR1		9990033	SYG1, X3, SLC53A1
XRCC1	RCC	2247054	
XRCC2		7607692, 10422536, 27208205	FANCU
XRCC3		7603995	
XRCC4		1697445, 7665175	
XRCC5		9636207, 9214634	KU80, KARP-1, Ku86, KUB2
XRCC6	G22P1	9200330, 9223317	D22S731, D22S671, KU70, ML8
XRCC6P1			
XRCC6P2			
XRCC6P3			
XRCC6P4			
XRCC6P5			
XRCC8		8879275, 10887218	
XRN1		12515382	SEP1
XRN2		10409438	
XRRA1		12908878, 17295261	FLJ00225
XS			
XWNPEP			
XXYLT1	C3orf21	22117070	FLJ35155
XXYLT1-AS1			
XXYLT1-AS2			
XYLB		23179721, 9763671	FLJ10343, FLJ12539
XYLT1		11099377, 23982343	XT-I, PXYLT1
XYLT2		11099377	XT-II, PXYLT2
YAE1	C7orf36, YAE1D1	26182403	GK003, CIAB2
YAF2		9016636	
YAM1		23942234	Yam-1
YAP1		7782338	YAP65
YAP1P1			
YAP1P2			
YAP1P3			
YARS		8552597, 9162081	YTS, YRS, tyrRS
YARS2		15779907, 15840810	FLJ13995, CGI-04, mt-TyrRS
YBEY	C21orf57	28153719	
YBX1	NSEP1	1891370, 3174636	YB-1, YB1, DBPB, NSEP-1, MDR-NF1, BP-8, CSDB, CSDA2
YBX1P1	NSEP1P	2977358	PSDBPB1
YBX1P2			TCAG_1818537
YBX1P3			
YBX1P4			
YBX1P5			
YBX1P6			
YBX1P7			
YBX1P8			
YBX1P9			
YBX1P10			
YBX2		10100484, 9780336	MSY2, CSDA3, Contrin
YBX2P1			
YBX3	CSDA	2977358, 8710501	dbpA, ZONAB, CSDA1
YBX3P1	CSDAP1	10343102	
YDJC		18177738	
YEATS2		10574462	FLJ10201, FLJ12841, FLJ13308, KIAA1197
YEATS2-AS1			
YEATS4		9302258, 11903063	NuBI-1, GAS41, YAF9
YES1		2983418	Yes, c-yes, HsT441
YES1P1	SYR, YES2, YESP		D22S670
YIF1A	YIF1	8824393, 10970842, 18718466	YIF1P, 54TM, FinGER7
YIF1B		12975309	FinGER8
YIPF1		12477932	DJ167A19.1, FinGER1
YIPF2		12477932	MGC3262, FinGER2
YIPF3	C6orf109		DKFZp566C243, KLIP1, dJ337H4.3, FinGER3
YIPF4		12477932	MGC11061, FinGER4
YIPF5		12975309, 18718466	SMAP-5, FinGER5
YIPF6		12477932	MGC21416, FinGER6
YIPF7			FLJ39576, FinGER9
YJEFN3		17533573	hYjeF_N3-19p13.11, FLJ44968
YJU2	CCDC94	22952453	FLJ10374
YKT6		15479160, 15544955	
YLPM1	C14orf170	7596406	ZAP, PPP1R169
YME1L1		22262461	
YME1L1P1	YME1L2	10591208	
YOD1			DKFZp451J1719, OTUD2, DUBA8
YPEL1		11473580, 15556292	
YPEL2		15556292	FKSG4
YPEL3		15556292	MGC10500
YPEL4		15556292	FLJ30213
YPEL5		15556292	CGI-127
YPEL5P1			
YPEL5P2			
YPEL5P3			
YRDC		12730717	FLJ23476, IRIP, SUA5
YRDCP1			
YRDCP2			
YRDCP3			
YTHDC1		12368078, 10564280	YT521, KIAA1966, YT521-B
YTHDC2		12477932	FLJ2194, FLJ10053, DKFZp564A186
YTHDF1	C20orf21	24284625	FLJ20391
YTHDF1P1	YTHDF1P		
YTHDF2		10508479, 22575960	HGRG8, NY-REN-2, CAHL
YTHDF2P1	YTHDF2P	10508479	HGRG8, NY-REN-2
YTHDF3		22575960	FLJ31657
YTHDF3-AS1			
YWHAB	YWHAA	8617504, 7890696	
YWHABP1			
YWHABP2			
YWHAE		9371399	FLJ45465
YWHAEP1			
YWHAEP2			
YWHAEP3			
YWHAEP4			
YWHAEP5			
YWHAEP6			
YWHAEP7		24312300	LOC284100
YWHAG		10486217, 10433554	PPP1R170
YWHAH	YWHA1		
YWHAQ		11080204	HS1, 14-3-3
YWHAQP1	YWHAQP		
YWHAQP2		11080204	
YWHAQP3			
YWHAQP4			
YWHAQP5			
YWHAQP6			
YWHAQP7			
YWHAQP8			
YWHAQP9			
YWHAZ	YWHAD	8617504, 7890696	KCIP-1, 14-3-3-zeta
YWHAZP1	YWHAZP		
YWHAZP2			
YWHAZP3			
YWHAZP4			
YWHAZP5			
YWHAZP6			
YWHAZP7			
YWHAZP8			
YWHAZP9			
YY1		1655281, 7912122	NF-E1, DELTA, UCRBP, YIN-YANG-1, INO80S
YY1AP1		11710830	YY1AP, HCCA2, YAP
YY1P1			
YY1P2			
YY2		14702039	ZNF631
ZACN	LGICZ1	12381728, 16083862	LGICZ, L2, ZAC, ZAC1
ZACNP1			
ZADH2		12477932	MGC45594
ZAN		9799793, 17033959	
ZAP70	SRK	1423621	ZAP-70, STD
ZAR1		12539046	Z3CXXC6
ZAR1L		18442940	Z3CXXC7
ZBBX		12477932	FLJ23049
ZBED1	ALTE	9872452, 9887332, 23533661	TRAMP, KIAA0785, DREF, hDREF
ZBED1P1			
ZBED2		23533661	MGC10796
ZBED3		23533661	MGC15435
ZBED3-AS1		25482444	
ZBED4		23533661	KIAA0637
ZBED5		10607616, 23533661	Buster1
ZBED5-AS1			
ZBED6		20016685, 20375320, 23533661	
ZBED6CL	C7orf29	23533661	
ZBED8	C5orf54	10607616, 23533661	Buster3
ZBED9	ZNF305P2, ZNF452, SCAND3	23533661, 23550032	ZFP38-L, KIAA1925, FLJ31087, Buster4
ZBP1	C20orf183	11842111	dJ718J7.3, DLM1, DLM-1, DAI
ZBTB1		10231032	KIAA0997, ZNF909
ZBTB2		10819331	KIAA1483, ZNF437, bA351K16.2
ZBTB3			FLJ23392
ZBTB4		16354688, 25499219	KIAA1538, KAISO-L1, ZNF903
ZBTB5		9205841	KIAA0354
ZBTB6	ZNF482	7958847	ZID
ZBTB7A	ZBTB7	9973611, 9927193	FBI-1, LRF, DKFZp547O146, pokemon, ZNF857A
ZBTB7B	ZFP67	9370309, 7937772	ZBTB15, c-Krox, hcKrox, ZNF857B
ZBTB7C	ZBTB36		ZNF857C
ZBTB8A	ZBTB8	23329847	BOZF1, FLJ90065, ZNF916A
ZBTB8B			RP1-27O5.1, DKFZp547H154, ZNF916B
ZBTB8OS		24870230	ARCH
ZBTB8OSP1			
ZBTB8OSP2			
ZBTB9		12477932	MGC23166, ZNF919
ZBTB10		12477932	RINZF, FLJ12752
ZBTB11			ZNF-U69274, ZNF913
ZBTB11-AS1			
ZBTB12	C6orf46	9545376	G10, NG35, D6S59E
ZBTB12BP	ZBTB12B, ZBTB12P1		ZNF920
ZBTB14	ZFP161	9244432	ZNF478
ZBTB16	ZNF145		PLZF
ZBTB17	ZNF151, ZNF60		MIZ1, pHZ-67
ZBTB18	ZNF238	9568537, 9013868	C2H2-171, TAZ-1, RP58
ZBTB20	ZNF288	10965110, 11352661	ODA-8S, DKFZp566F123, DPZF
ZBTB20-AS1			
ZBTB20-AS2			
ZBTB20-AS3			
ZBTB20-AS4			
ZBTB20-AS5			
ZBTB21	ZNF295		KIAA1227
ZBTB22	ZNF297		BING1, ZNF297A, fruitless, fru, ZBTB22A
ZBTB24	ZNF450	9455477	KIAA0441, BIF1, PATZ2
ZBTB25	ZNF46, C14orf51		KUP
ZBTB26	ZNF481		
ZBTB32		10572087	TZFP, FAZF, FAXF, Rog, ZNF538
